,Country,Obesity - adult prevalence rate (%),Year
0,Kuwait,38,2016
1,Jordan,36,2016
2,Saudi Arabia,35,2016
3,Qatar,35,2016
4,Turkey,32,2016
5,Lebanon,32,2016
6,United Arab Emirates,32,2016
7,Iraq,30,2016
8,Bahrain,30,2016
9,Syria,28,2016
10,Oman,27,2016
11,Israel,26,2016
12,Iran,26,2016
13,Russia,23,2016
14,Russia,23,2016
15,Georgia,22,2016
16,Kazakhstan,21,2016
17,Mongolia,21,2016
18,Armenia,20,2016
19,Azerbaijan,20,2016
20,Turkmenistan,19,2016
21,Yemen,17,2016
22,Uzbekistan,17,2016
23,Kyrgyzstan,17,2016
24,Malaysia,16,2016
25,Tajikistan,14,2016
26,Brunei,14,2016
27,Thailand,10,2016
28,Pakistan,9,2016
29,Indonesia,7,2016
30,"Korea, North",7,2016
31,Philippines,6,2016
32,Bhutan,6,2016
33,China,6,2016
34,Singapore,6,2016
35,Burma,6,2016
36,Afghanistan,6,2016
37,Laos,5,2016
38,Sri Lanka,5,2016
39,"Korea, South",5,2016
40,Japan,4,2016
41,Nepal,4,2016
42,India,4,2016
43,Cambodia,4,2016
44,East Timor,4,2016
45,Bangladesh,4,2016
46,Vietnam,2,2016
