,Country,Obesity - adult prevalence rate (%),Year
0,"Bahamas, The",32,2016
1,Dominica,28,2016
2,Dominican Republic,28,2016
3,Costa Rica,26,2016
4,Jamaica,25,2016
5,Cuba,25,2016
6,El Salvador,25,2016
7,Belize,24,2016
8,Nicaragua,24,2016
9,Saint Vincent and the Grenadines,24,2016
10,Barbados,23,2016
11,Saint Kitts and Nevis,23,2016
12,Panama,23,2016
13,Haiti,23,2016
14,Honduras,21,2016
15,Grenada,21,2016
16,Guatemala,21,2016
17,Saint Lucia,20,2016
18,Antigua and Barbuda,19,2016
19,Trinidad and Tobago,19,2016
