,Country,"Death rate (deaths/1,000 population)",Year
0,Russia,13,2018
1,Russia,13,2018
2,Afghanistan,13,2018
3,Georgia,11,2018
4,Japan,10,2018
5,Armenia,10,2018
6,"Korea, North",9,2018
7,Kazakhstan,8,2018
8,Thailand,8,2018
9,China,8,2018
10,Hong Kong,8,2018
11,Taiwan,8,2018
12,Cambodia,7,2018
13,Burma,7,2018
14,India,7,2018
15,Laos,7,2018
16,Azerbaijan,7,2018
17,Indonesia,7,2018
18,Bhutan,6,2018
19,Kyrgyzstan,6,2018
20,Mongolia,6,2018
21,Pakistan,6,2018
22,"Korea, South",6,2018
23,Sri Lanka,6,2018
24,Philippines,6,2018
25,Turkmenistan,6,2018
26,Turkey,6,2018
27,Tajikistan,6,2018
28,Vietnam,6,2018
29,Yemen,6,2018
30,East Timor,6,2018
31,Nepal,6,2018
32,Bangladesh,5,2018
33,Uzbekistan,5,2018
34,Iran,5,2018
35,Israel,5,2018
36,Malaysia,5,2018
37,Lebanon,5,2018
38,Macau,5,2018
39,Syria,4,2018
40,Iraq,4,2018
41,Brunei,4,2018
42,Singapore,4,2018
43,Jordan,3,2018
44,Oman,3,2018
45,Saudi Arabia,3,2018
46,Bahrain,3,2018
47,Kuwait,2,2018
48,United Arab Emirates,2,2018
49,Qatar,2,2018
