,Country,"Death rate (deaths/1,000 population)",Year
0,Cuba,9,2018
1,Puerto Rico,9,2018
2,Trinidad and Tobago,9,2018
3,Barbados,9,2018
4,Grenada,8,2018
5,Dominica,8,2018
6,Saint Lucia,8,2018
7,Jamaica,8,2018
8,Haiti,8,2018
9,Saint Vincent and the Grenadines,7,2018
10,"Bahamas, The",7,2018
11,Saint Kitts and Nevis,7,2018
12,Dominican Republic,6,2018
13,Cayman Islands,6,2018
14,El Salvador,6,2018
15,Antigua and Barbuda,6,2018
16,Honduras,5,2018
17,Nicaragua,5,2018
18,Panama,5,2018
19,Guatemala,5,2018
20,Costa Rica,5,2018
21,Belize,4,2018
