,Country,"Death rate (deaths/1,000 population)",Year
0,Lithuania,15,2018
1,Bulgaria,15,2018
2,Latvia,15,2018
3,Ukraine,14,2018
4,Serbia,14,2018
5,Belarus,13,2018
6,Hungary,13,2018
7,Estonia,13,2018
8,Moldova,13,2018
9,Croatia,12,2018
10,Romania,12,2018
11,Germany,12,2018
12,Greece,11,2018
13,Portugal,11,2018
14,Poland,11,2018
15,Czech Republic,11,2018
16,Italy,11,2018
17,Montenegro,10,2018
18,Monaco,10,2018
19,Finland,10,2018
20,Bosnia and Herzegovina,10,2018
21,Slovenia,10,2018
22,Slovakia,10,2018
23,Austria,10,2018
24,Belgium,10,2018
25,Macedonia,10,2018
26,France,9,2018
27,United Kingdom,9,2018
28,Sweden,9,2018
29,Denmark,9,2018
30,Spain,9,2018
31,Netherlands,9,2018
32,San Marino,9,2018
33,Switzerland,8,2018
34,Norway,8,2018
35,Malta,8,2018
36,Liechtenstein,8,2018
37,Andorra,7,2018
38,Luxembourg,7,2018
39,Albania,7,2018
40,Ireland,7,2018
41,Iceland,7,2018
42,Turkey,6,2018
