,Country,Obesity - adult prevalence rate (%),Year
0,Nauru,61,2016
1,Palau,55,2016
2,Tuvalu,52,2016
3,Tonga,48,2016
4,Samoa,47,2016
5,Kiribati,46,2016
6,Kuwait,38,2016
7,United States,36,2016
8,Jordan,36,2016
9,Saudi Arabia,35,2016
10,Qatar,35,2016
11,Libya,33,2016
12,Turkey,32,2016
13,Lebanon,32,2016
14,Egypt,32,2016
15,United Arab Emirates,32,2016
16,"Bahamas, The",32,2016
17,New Zealand,31,2016
18,Iraq,30,2016
19,Fiji,30,2016
20,Bahrain,30,2016
21,Canada,29,2016
22,Australia,29,2016
23,Malta,29,2016
24,Mexico,29,2016
25,Argentina,28,2016
26,South Africa,28,2016
27,Chile,28,2016
28,Dominica,28,2016
29,Uruguay,28,2016
30,United Kingdom,28,2016
31,Syria,28,2016
32,Dominican Republic,28,2016
33,Algeria,27,2016
34,Oman,27,2016
35,Tunisia,27,2016
36,Suriname,26,2016
37,Hungary,26,2016
38,Lithuania,26,2016
39,Israel,26,2016
40,Morocco,26,2016
41,Czech Republic,26,2016
42,Iran,26,2016
43,Costa Rica,26,2016
44,Andorra,26,2016
45,Venezuela,26,2016
46,Ireland,25,2016
47,Vanuatu,25,2016
48,Bulgaria,25,2016
49,Greece,25,2016
50,Jamaica,25,2016
51,El Salvador,25,2016
52,Cuba,25,2016
53,Belarus,25,2016
54,Croatia,24,2016
55,Belize,24,2016
56,Ukraine,24,2016
57,Spain,24,2016
58,Saint Vincent and the Grenadines,24,2016
59,Nicaragua,24,2016
60,Latvia,24,2016
61,Montenegro,23,2016
62,Norway,23,2016
63,Poland,23,2016
64,Russia,23,2016
65,Barbados,23,2016
66,Saint Kitts and Nevis,23,2016
67,Haiti,23,2016
68,Panama,23,2016
69,Luxembourg,23,2016
70,Romania,23,2016
71,Solomon Islands,23,2016
72,Macedonia,22,2016
73,Germany,22,2016
74,Colombia,22,2016
75,Finland,22,2016
76,Brazil,22,2016
77,Belgium,22,2016
78,Iceland,22,2016
79,Albania,22,2016
80,Georgia,22,2016
81,France,22,2016
82,Serbia,22,2016
83,Honduras,21,2016
84,Grenada,21,2016
85,Papua New Guinea,21,2016
86,Guatemala,21,2016
87,Estonia,21,2016
88,Kazakhstan,21,2016
89,Portugal,21,2016
90,Mongolia,21,2016
91,Sweden,21,2016
92,Slovakia,21,2016
93,Netherlands,20,2016
94,Paraguay,20,2016
95,Guyana,20,2016
96,Armenia,20,2016
97,Bolivia,20,2016
98,Slovenia,20,2016
99,Austria,20,2016
100,Azerbaijan,20,2016
101,Ecuador,20,2016
102,Italy,20,2016
103,Peru,20,2016
104,Denmark,20,2016
105,Saint Lucia,20,2016
106,Switzerland,20,2016
107,Antigua and Barbuda,19,2016
108,Botswana,19,2016
109,Moldova,19,2016
110,Trinidad and Tobago,19,2016
111,Turkmenistan,19,2016
112,Bosnia and Herzegovina,18,2016
113,Namibia,17,2016
114,Yemen,17,2016
115,Uzbekistan,17,2016
116,Kyrgyzstan,17,2016
117,Lesotho,17,2016
118,Swaziland,17,2016
119,Malaysia,16,2016
120,Zimbabwe,16,2016
121,Gabon,15,2016
122,Tajikistan,14,2016
123,Brunei,14,2016
124,Seychelles,14,2016
125,Djibouti,14,2016
126,Mauritania,13,2016
127,Sao Tome and Principe,12,2016
128,Cape Verde,12,2016
129,Cameroon,11,2016
130,Ghana,11,2016
131,Mauritius,11,2016
132,Cote d'Ivoire,10,2016
133,"Gambia, The",10,2016
134,Thailand,10,2016
135,Liberia,10,2016
136,Benin,10,2016
137,"Congo, Republic of the",10,2016
138,Guinea-Bissau,10,2016
139,Nigeria,9,2016
140,Senegal,9,2016
141,Sierra Leone,9,2016
142,Pakistan,9,2016
143,Mali,9,2016
144,Togo,8,2016
145,Tanzania,8,2016
146,Somalia,8,2016
147,Angola,8,2016
148,Zambia,8,2016
149,Equatorial Guinea,8,2016
150,Comoros,8,2016
151,Guinea,8,2016
152,Central African Republic,8,2016
153,Mozambique,7,2016
154,Kenya,7,2016
155,Indonesia,7,2016
156,"Korea, North",7,2016
157,"Congo, Democratic Republic of the",7,2016
158,Sudan,7,2014
159,Bhutan,6,2016
160,Philippines,6,2016
161,China,6,2016
162,Chad,6,2016
163,Singapore,6,2016
164,Burma,6,2016
165,Rwanda,6,2016
166,Malawi,6,2016
167,Burkina Faso,6,2016
168,Niger,6,2016
169,Afghanistan,6,2016
170,Burundi,5,2016
171,Madagascar,5,2016
172,Laos,5,2016
173,Uganda,5,2016
174,Sri Lanka,5,2016
175,Eritrea,5,2016
176,"Korea, South",5,2016
177,Ethiopia,5,2016
178,Japan,4,2016
179,Nepal,4,2016
180,India,4,2016
181,Cambodia,4,2016
182,East Timor,4,2016
183,Bangladesh,4,2016
184,Vietnam,2,2016
